파일,밀도,임계값,빈칸여부
1000201.JPG,0.094727,0.020000,0
1000202.JPG,0.034686,0.066044,1
1000211.JPG,0.093974,0.020000,0
1000212.JPG,0.068556,0.066044,0
1000221.JPG,0.100797,0.020000,0
1000222.JPG,0.093228,0.066044,0
1000231.JPG,0.037027,0.020000,0
1000232.JPG,0.094633,0.066044,0
1000241.JPG,0.120333,0.020000,0
1000242.JPG,0.108596,0.066044,0
1000251.JPG,0.036834,0.020000,0
1000252.JPG,0.106377,0.066044,0
1000261.JPG,0.094094,0.020000,0
1000262.JPG,0.105513,0.066044,0
1000271.JPG,0.079884,0.020000,0
1000272.JPG,0.144172,0.066044,0
1000281.JPG,0.089384,0.020000,0
1000282.JPG,0.034523,0.066044,1
1000291.JPG,0.033476,0.020000,0
1000292.JPG,0.017046,0.066044,1
1000301.JPG,0.040568,0.020000,0
1000302.JPG,0.130140,0.066044,0
1000311.JPG,0.038356,0.020000,0
1000312.JPG,0.085465,0.066044,0
1000321.JPG,0.097279,0.020000,0
1000322.JPG,0.036273,0.066044,1
1000331.JPG,0.060411,0.020000,0
1000332.JPG,0.078613,0.066044,0
1000341.JPG,0.098454,0.020000,0
1000342.JPG,0.091974,0.066044,0
