파일1,파일2,유사도,상태,그룹ID
1000202.JPG,81000202.JPG,1.0,중복/그룹,group_001
1000202.JPG,1000442.JPG,0.997,중복/그룹,group_001
1000202.JPG,1000322.JPG,0.9952,중복/그룹,group_001
1000202.JPG,81000322.JPG,0.9952,중복/그룹,group_001
1000202.JPG,1000522.JPG,0.995,중복/그룹,group_001
1000202.JPG,1000432.JPG,0.9943,중복/그룹,group_001
1000202.JPG,1000552.JPG,0.9878,중복/그룹,group_001
1000202.JPG,81000402.JPG,0.9861,중복/그룹,group_001
1000202.JPG,1000402.JPG,0.9861,중복/그룹,group_001
1000202.JPG,1000282.JPG,0.9593,유사 후보,-
1000202.JPG,81000282.JPG,0.9593,유사 후보,-
1000212.JPG,81000212.JPG,1.0,중복/그룹,group_002
1000222.JPG,81000222.JPG,1.0,중복/그룹,group_003
1000232.JPG,81000232.JPG,1.0,중복/그룹,group_004
1000242.JPG,81000242.JPG,1.0,중복/그룹,group_005
1000252.JPG,81000252.JPG,1.0,중복/그룹,group_006
1000262.JPG,81000262.JPG,1.0,중복/그룹,group_007
1000282.JPG,81000282.JPG,1.0,중복/그룹,group_008
1000282.JPG,81000402.JPG,0.9857,유사 후보,-
1000282.JPG,1000402.JPG,0.9857,유사 후보,-
1000282.JPG,1000552.JPG,0.9825,유사 후보,-
1000282.JPG,1000432.JPG,0.9718,유사 후보,-
1000282.JPG,1000522.JPG,0.9696,유사 후보,-
1000282.JPG,1000442.JPG,0.9656,유사 후보,-
1000282.JPG,81000322.JPG,0.9615,유사 후보,-
1000282.JPG,1000322.JPG,0.9615,유사 후보,-
1000282.JPG,81000202.JPG,0.9593,유사 후보,-
1000302.JPG,81000302.JPG,1.0,중복/그룹,group_009
1000312.JPG,81000312.JPG,1.0,중복/그룹,group_010
1000322.JPG,81000322.JPG,1.0,중복/그룹,group_001
1000322.JPG,1000442.JPG,0.9958,중복/그룹,group_001
1000322.JPG,81000202.JPG,0.9952,중복/그룹,group_001
1000322.JPG,1000522.JPG,0.9938,중복/그룹,group_001
1000322.JPG,1000432.JPG,0.9933,중복/그룹,group_001
1000322.JPG,1000552.JPG,0.99,중복/그룹,group_001
1000322.JPG,81000402.JPG,0.9859,중복/그룹,group_001
1000322.JPG,1000402.JPG,0.9859,중복/그룹,group_001
1000322.JPG,81000282.JPG,0.9615,유사 후보,-
1000332.JPG,81000332.JPG,1.0,중복/그룹,group_011
1000342.JPG,81000342.JPG,1.0,중복/그룹,group_012
1000382.JPG,81000382.JPG,1.0,중복/그룹,group_013
1000392.JPG,81000392.JPG,1.0,중복/그룹,group_014
1000392.JPG,1000422.JPG,0.8631,다름,-
1000392.JPG,81000422.JPG,0.8631,다름,-
1000402.JPG,81000402.JPG,1.0,중복/그룹,group_001
1000402.JPG,1000552.JPG,0.9936,중복/그룹,group_001
1000402.JPG,1000522.JPG,0.9889,중복/그룹,group_001
1000402.JPG,1000432.JPG,0.988,중복/그룹,group_001
1000402.JPG,1000442.JPG,0.9873,중복/그룹,group_001
1000402.JPG,81000202.JPG,0.9861,중복/그룹,group_001
1000402.JPG,81000322.JPG,0.9859,중복/그룹,group_001
1000402.JPG,81000282.JPG,0.9857,유사 후보,-
1000412.JPG,81000412.JPG,1.0,중복/그룹,group_015
1000422.JPG,81000422.JPG,1.0,중복/그룹,group_016
1000422.JPG,81000392.JPG,0.8631,다름,-
1000432.JPG,1000522.JPG,0.9952,중복/그룹,group_001
1000432.JPG,1000442.JPG,0.9952,중복/그룹,group_001
1000432.JPG,81000202.JPG,0.9943,중복/그룹,group_001
1000432.JPG,81000322.JPG,0.9933,중복/그룹,group_001
1000432.JPG,1000552.JPG,0.992,중복/그룹,group_001
1000432.JPG,81000402.JPG,0.988,중복/그룹,group_001
1000432.JPG,81000282.JPG,0.9718,유사 후보,-
1000442.JPG,1000522.JPG,0.998,중복/그룹,group_001
1000442.JPG,81000202.JPG,0.997,중복/그룹,group_001
1000442.JPG,81000322.JPG,0.9958,중복/그룹,group_001
1000442.JPG,1000552.JPG,0.991,중복/그룹,group_001
1000442.JPG,81000402.JPG,0.9873,중복/그룹,group_001
1000442.JPG,81000282.JPG,0.9656,유사 후보,-
1000522.JPG,81000202.JPG,0.995,중복/그룹,group_001
1000522.JPG,81000322.JPG,0.9938,중복/그룹,group_001
1000522.JPG,1000552.JPG,0.9929,중복/그룹,group_001
1000522.JPG,81000402.JPG,0.9889,중복/그룹,group_001
1000522.JPG,81000282.JPG,0.9696,유사 후보,-
1000552.JPG,81000402.JPG,0.9936,중복/그룹,group_001
1000552.JPG,81000322.JPG,0.99,중복/그룹,group_001
1000552.JPG,81000202.JPG,0.9878,중복/그룹,group_001
1000552.JPG,81000282.JPG,0.9825,유사 후보,-
81000202.JPG,81000322.JPG,0.9952,중복/그룹,group_001
81000202.JPG,81000402.JPG,0.9861,중복/그룹,group_001
81000202.JPG,81000282.JPG,0.9593,유사 후보,-
81000272.JPG,91000242.JPG,1.0,중복/그룹,group_017
81000272.JPG,91000272.JPG,1.0,중복/그룹,group_017
81000282.JPG,81000402.JPG,0.9857,유사 후보,-
81000282.JPG,81000322.JPG,0.9615,유사 후보,-
81000322.JPG,81000402.JPG,0.9859,중복/그룹,group_001
81000392.JPG,81000422.JPG,0.8631,다름,-
91000242.JPG,91000272.JPG,1.0,중복/그룹,group_017
